lineno,sno,origWord,Synonym,imp,uniqCount,freq,freqcorrection,type,class,base weight,adj. weight,title
34252,1,chemical,chemical,3,1,1356,1000,noun,class,200,0.2, using asclepias syriaca to prevent small scale oil spills chemical pollute organism plant organism plant pollute ecology environment environment 
27190,2,biology,biology,3,1,1011,1000,pronoun,class,1000,1, the allelopathic effects of c.orbiculatus and f.japonica drug organism plant organism plant medicine biology 
34253,1,ecology,environment,3,1,971,1000,noun,class,100,0.1, using asclepias syriaca to prevent small scale oil spills chemical pollute organism plant organism plant pollute ecology environment environment 
34256,1,organism,organism,5,1,923,1000,noun,class,50,0.05, using asclepias syriaca to prevent small scale oil spills chemical pollute organism plant organism plant pollute ecology environment environment 
22839,5,engineering,engineer,4,1,697,700,noun,class,50,0.071428571, pick up line using accelerometers to identify a person device speed organism human mammal electronics engineering 
8329,7,medical,medical,3,1,556,600,noun,class,100,0.166666667, curcumin vs cancer the effects of curcumin on breast cancer cells cellbio chemical drug plant tumeric disease medical organ human biochem cancer biology 
32458,41,compsci,compsci,3,1,482,500,pronoun,class,1000,2, the phylogenetic analysis of the 2009 swine influenza h1n1 pandemic disease infectious medical virus genetic medical disease organism mammal pig organism microbiology infectious disease medical compsci genetics medical biology 
28965,3,biochem,biochem,5,1,478,500,pronoun,class,1000,2, the effect of lambdacarrageenan on blastemal cell development cellbio chemical organic organ cellbio biochem cellbio biology 
7096,11,microbiology,microbe,3,1,430,500,pronoun,class,1000,2, co infection of borrelia burgdorfer and wolbachia in ixodus scapularis bacteria microbiology infectious organism microbiology bacteria borrelia organism microbiology infectious organism tick arachnid lyme organism tick arachnid lyme microbiology infectious biology 
22837,5,device,device,5,1,413,500,noun,class,50,0.1, pick up line using accelerometers to identify a person device speed organism human mammal electronics engineering 
13669,8,gene,gene,2,1,376,400,pronoun,class,1000,2.5, endothelial differentiation of ckit cpcs on fibrin hydrogel scaffold gene protein chemical organic organ blood protein cell bio biology 
34087,6,energy,energy,1,1,364,400,noun,class,1000,2.5, unveiling the power of super massive black holes in distant galaxies astronomy physics energy astronomy physics 
8325,7,disease,disease,3,1,362,400,noun,class,100,0.25, curcumin vs cancer the effects of curcumin on breast cancer cells cellbio chemical drug plant tumeric disease medical organ human biochem cancer biology 
12057,17,mechanical,mechanism,3,1,352,400,noun,class,100,0.25, effect of sail section profile on lift to drag ratio aerodynamic transportation transportation boat wind mechanical transportation engineering 
34257,1,plant,plant,5,1,336,300,noun,class,50,0.166666667, using asclepias syriaca to prevent small scale oil spills chemical pollute organism plant organism plant pollute ecology environment environment 
16,23,method,method,5,1,320,300,noun,class,50,0.166666667, a new method for identifying active regulatory dna elements phase ii genetic method genetics funda biology 
8102,32,behaviour,behavior,2,1,283,300,noun,class,1000,3.333333333, creating a micro pipetting protocol to reduce human error method method organism mammal human behaviour logistics behavioralandsocial 
34258,1,pollute,pollute,2,1,279,300,noun,class,1000,3.333333333, using asclepias syriaca to prevent small scale oil spills chemical pollute organism plant organism plant pollute ecology environment environment 
28976,3,organ,organ,5,1,274,300,noun,class,50,0.166666667, the effect of lambdacarrageenan on blastemal cell development cellbio chemical organic organ cellbio biochem cellbio biology 
27192,2,drug,drug,3,1,241,200,noun,class,100,0.5, the allelopathic effects of c.orbiculatus and f.japonica drug organism plant organism plant medicine biology 
24532,12,water,water,3,1,225,200,noun,class,100,0.5, reversing eutrophication understanding the effects of mitigation pollute toxin water environment environment 
4333,39,nutrition,nutrient,2,1,221,200,noun,class,1000,5, antioxidant level in dried fruits chemical nutrition food nutrition chemistry nutrition biology 
