80000ft	000ft
a.angulosus	angulosus
a.domesticus	"achetus, cricket, domesticus"
a.melifera	"bee, beehives, bees, mellifera, melifera"
a.pallida	pallida
a.salina	"artemia, salina"
a.syriaca	syriaca
a.thaliana	thaliana
ability	agility
absorb	"absorbed, absorbency, absorbing, absorption"
accelerometer	accelerometers
access	"accesibility, accessibility, accessible"
accurate	"accuracy, fidelity, precision"
acetic	"acetate, ch3cooh"
acid	"acidification, acidifying, acidity, acidosis, acids"
acne	"acnes, pimples, pimple, zit"
acoustic	"acoustical, acoustics, audio, auditory, decibel, noise, noisy, sound"
action	"acitivity, acting, activated, activation, active, actively, activity, actuator, actuated"
adapt	"acclimate, acclimation, adaptations, adaptive, adapting"
add	"adding, additive, additives, append, augmentation, augmented, augmenting, incorporating, supplement, supplementation, supplements"
address	"addressing, addressed"
admit	admissions
adsorb	"adsorbed, adsorption"
adult	"elderly, mature"
advance	"advanced, advancements, advancing, advances, ahead, progress, progression, progressing, surge"
adverse	adversarial
aerate	aeration
aerial	airborne
aerodynamic	aerodynamics
aerosol	"aerosolized, aerosols, spray"
age	"aged, aging"
agent	agents
aggression	"aggressive, angry, anger, rage, fury"
agriculture	vs.agricultural
aiml	"ai, ml, cnn, ann, gan"
aircraft	"airplane, airplanes"
alcohol	alcohols
alert	alerts
algae	"alga, algal, vs.algae"
aligner	"aligners, alignment"
allelopathy	allelopathic
allergy	allergies
alternate	"alternating, alternative, alternatives, other"
aluminum	al
alzheimer	"alzheimer’s, alzheimers, azheimer, azheimers"
ameloblast	ameloblasts
ammonia	"ammonium, nh4"
among	amidst
ampicillin	apmicillin
analgesic	analgesics
analyze	"analyses, analysis, analyst, analyzation, analyzing, anaylsis, assessing, evaluating, evaluation, examination, examine, examining, investigate, investigating, investigation, investigations"
anatomy	anatomical
angle	angles
answer	"solution, solving"
antacid	antacids
antecedent	antecedents
anti	vs.anti
antibiotic	"antibacteria, antibacterias, antibiotics, antimicrobial, antimicrobials, antiseptic, bactericidal, bacterial, bacterials"
antifungal	antifungals
antioxidant	antioxidants
aorta	aortic
apple	apples
apply	"application, applications, applied, applying"
aquaponic	"aquaculture, aquacultures, aquaponics, hydroponic, hydroponics"
aquaponics	vs.aquaponics
area	areas
arrange	arrangement
array	arrays
arrhythmias	arrthmias
artery	arteries
art	"arts, crafts, paintings, "
article	articles
artificial	artificially
artist	artists
ash	"ashs, ashes"
asteroid	"asteroid’s, asteroids"
asthma	asthmatics
astronomy	astronomical
asymtote	asymptotics
athlete	athletes
atmosphere	atmospheric
atrium	atrial
attach	"attachment, attachments, binding, bonding"
attend	attendance
attest	attestation
attract	"attracted, attraction"
attribute	"aspects, characteristic, characteristics, characterization, characterize, characterizing, feature, features, properties"
automatic	"automated, automating, automation"
automobile	"automobiles, car, cars, buses, bus, van, truck, trucks, lorry"
autonomy	"autonomous, autonomously"
auxillary	auxiliary
avoid	"avoidance, circumvention"
aware	awareness
b.burgdorferi	"burgdorfer, burgdorferi"
b.canadensis	branta
b.mori	"bombyx, mori"
b.rapa	rapa
baby	"prenatal, infant, child, offspring"
bacteria	"bacteria...with, bacterial, bacterias, bacterium, vs.bacteria"
bacteriophage	bacteriophages
bad	deleterious
bake	baking
balance	balancing
